date,race_id,race_name,horse_name,horse_id,bet_type,pred_win,pred_place,pred_win_calibrated,odds,odds_recorded_time,bet_rule,bet_amount,kelly_theoretical,result,payout,pl,bankroll,memo
2026-03-08,202609010601,1R3歳未勝利09:50ダ1800m12頭,マーゴットデイズ,2023103896,単勝,0.1587,0.3810,0.1587,20.0,2026-03-08 09:12,条件B,100,5722,ハズレ,0,-100,49900.0,
2026-03-08,202606020402,2R3歳未勝利10:35ダ1200m16頭,ツクバヴァンガード,2023101037,単勝,0.2313,0.4691,0.2313,2.7,2026-03-08 09:57,条件A,100,0,ハズレ,0,-100,49800.0,
2026-03-08,202606020402,2R3歳未勝利10:35ダ1200m16頭,ベルオーシャン,2023104980,単勝,0.1253,0.1721,0.1253,13.4,2026-03-08 09:57,条件B,100,2738,ハズレ,0,-100,49700.0,
2026-03-08,202606020403,3R3歳未勝利11:05ダ1800m14頭,ホノボノ,2023100581,単勝,0.1984,0.3955,0.1984,17.9,2026-03-08 10:27,条件B,100,7550,的中,1520,1420,51120.0,
2026-03-08,202606020403,3R3歳未勝利11:05ダ1800m14頭,ゲンパチミスティ,2023105064,単勝,0.1555,0.3694,0.1555,50.8,2026-03-08 10:27,条件B,100,6926,ハズレ,0,-100,51020.0,
2026-03-08,202609010604,4R3歳未勝利11:20ダ1400m16頭,ルーポ,2023110099,単勝,0.2857,0.4935,0.2857,2.3,2026-03-08 10:42,条件A,100,0,ハズレ,0,-100,50920.0,
2026-03-08,202606020404,4R4歳以上障害未勝利11:35障2880m14頭,ロードヴァレンチ,2019103507,単勝,0.3677,0.5926,0.3677,7.4,2026-03-08 10:57,条件A,100,13444,ハズレ,0,-100,50820.0,
2026-03-08,202606020404,4R4歳以上障害未勝利11:35障2880m14頭,ノーブルクライ,2020102976,単勝,0.1623,0.2720,0.1623,13.3,2026-03-08 10:57,条件B,100,4710,ハズレ,0,-100,50720.0,
2026-03-08,202609010605,5R3歳1勝クラス12:10ダ1800m16頭,メイショウコマチ,2023102243,単勝,0.2427,0.4126,0.2427,5.1,2026-03-08 11:32,条件A,100,2898,ハズレ,0,-100,50620.0,
2026-03-08,202609010605,5R3歳1勝クラス12:10ダ1800m16頭,シュネルアンジュ,2023102948,単勝,0.2092,0.4119,0.2092,3.0,2026-03-08 11:32,条件A,100,0,ハズレ,0,-100,50520.0,
